,r_fighter,b_fighter,r_odds,b_odds,r_ev,b_ev,date,winner,title_bout,weight_class,gender,no_of_rounds,b_current_lose_streak,b_current_win_streak,b_draw,b_avg_sig_str_landed,b_avg_sig_str_pct,b_avg_sub_att,b_avg_td_landed,b_avg_td_pct,b_longest_win_streak,b_losses,b_total_rounds_fought,b_total_title_bouts,b_win_by_decision_majority,b_win_by_decision_split,b_win_by_decision_unanimous,b_win_by_ko_tko,b_win_by_submission,b_win_by_tko_doctor_stoppage,b_wins,b_stance,b_height_cms,b_reach_cms,b_weight_lbs,r_current_lose_streak,r_current_win_streak,r_draw,r_avg_sig_str_landed,r_avg_sig_str_pct,r_avg_sub_att,r_avg_td_landed,r_avg_td_pct,r_longest_win_streak,r_losses,r_total_rounds_fought,r_total_title_bouts,r_win_by_decision_majority,r_win_by_decision_split,r_win_by_decision_unanimous,r_win_by_ko_tko,r_win_by_submission,r_win_by_tko_doctor_stoppage,r_wins,r_stance,r_height_cms,r_reach_cms,r_weight_lbs,r_age,b_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,b_match_weightclass_rank,r_match_weightclass_rank,r_womens_flyweight_rank,r_womens_featherweight_rank,r_womens_strawweight_rank,r_womens_bantamweight_rank,r_heavyweight_rank,r_light_heavyweight_rank,r_middleweight_rank,r_welterweight_rank,r_lightweight_rank,r_featherweight_rank,r_bantamweight_rank,r_flyweight_rank,r_pound_for_pound_rank,b_womens_flyweight_rank,b_womens_featherweight_rank,b_womens_strawweight_rank,b_womens_bantamweight_rank,b_heavyweight_rank,b_light_heavyweight_rank,b_middleweight_rank,b_welterweight_rank,b_lightweight_rank,b_featherweight_rank,b_bantamweight_rank,b_flyweight_rank,b_pound_for_pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,city,region,country
2,Misha Cirkunov,Krzysztof Jotko,110,-130,110.0,76.92307692307693,2021-10-02,Blue,False,Middleweight,MALE,3,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.079999999999984,0.0,-2,-0.8500000000000001,-1.6,-3.3300000000000005,1,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,550,275,275,1400,600,185,Las Vegas,Nevada,USA
17,Dan Hooker,Nasrat Haqparast,-150,130,66.66666666666666,130.0,2021-09-25,Red,False,Lightweight,MALE,3,0,2,0,5.19,0.46,0.0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,Southpaw,177.8,182.88,155,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.079999999999984,-7.620000000000003,-5,0.2400000000000002,-0.2,-0.75,1,,8,,,,,,,,,8,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,225,350,900,2200,225,350,Las Vegas,Nevada,USA
23,Jonathan Pearce,Omar Morales,140,-160,140.0,62.5,2021-09-25,Red,False,Featherweight,MALE,3,0,1,0,3.4,0.38,0.0,0.6,1.0,3,1,14,0,0,0,3,1,0,0,4,Orthodox,180.34,185.42,145,0,1,0,6.79,0.53,1.0,7.17,0.57,1,1,6,0,0,0,0,2,0,0,2,Switch,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.539999999999992,5.0800000000000125,6,-3.39,-1.0,-6.57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,3:31,511,330,165,1100,1100,400,330,Las Vegas,Nevada,USA
22,Matthew Semelsberger,Martin Sano,-525,385,19.047619047619047,385.0,2021-09-25,Red,False,Welterweight,MALE,3,0,0,0,4.0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,1,0,0,6.16,0.48,0.5,0.98,1.0,2,1,7,0,0,0,1,1,0,0,2,Switch,185.42,190.5,170,28,30,-1,0,-2,-2,-1,-7,0,-1,0,-5.0800000000000125,0.0,2,-2.16,-0.5,-0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,0:15,15,300,,500,,-135,,Las Vegas,Nevada,USA
21,Cody Brundage,Nick Maximov,125,-145,125.0,68.96551724137932,2021-09-25,Blue,False,Middleweight,MALE,3,0,1,0,1.7,0.49,0.0,3.0,0.3,1,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,185,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0.0,10.159999999999997,-4,-1.0000000000000002,-0.9,2.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,350,300,500,250,400,500,Las Vegas,Nevada,USA
19,Roxanne Modafferi,Taila Santos,300,-400,300.0,25.0,2021-09-25,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,3.55,0.5,0.8,2.6,0.86,2,1,12,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,125,1,0,0,2.97,0.3,0.1,1.3,0.21,1,8,35,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,39,28,-1,2,1,-1,-7,-23,-1,-1,0,-2.539999999999992,-2.539999999999992,-11,0.5799999999999996,0.7000000000000001,1.3,1,12,9,9,,,,,,,,,,,,,12,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,550,-165,1100,1100,2200,350,Las Vegas,Nevada,USA
18,Shamil Abdurakhimov,Chris Daukaus,180,-220,180.0,45.45454545454545,2021-09-25,Blue,False,Heavyweight,MALE,3,0,3,0,9.03,0.53,0.0,0.0,0.0,3,0,3,0,0,0,0,3,0,0,3,Orthodox,190.5,193.04,250,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0.0,0.0,-8,6.5,-0.2,-1.14,1,10,7,,,,,7,,,,,,,,,,,,,10,,,,,,,,,Red,KO/TKO,Punch,2,1:23,383,400,350,1800,1400,450,100,Las Vegas,Nevada,USA
20,Uros Medic,Jalin Turner,-115,-105,86.95652173913044,95.23809523809524,2021-09-25,Blue,False,Lightweight,MALE,3,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,Southpaw,190.5,195.58,155,0,2,0,10.53,0.75,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Southpaw,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.079999999999984,15.240000000000007,-2,-4.329999999999999,1.9,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,4:01,241,400,400,1200,700,165,300,Las Vegas,Nevada,USA
16,Marlon Moraes,Merab Dvalishvili,245,-310,245.0,32.25806451612903,2021-09-25,Blue,False,Bantamweight,MALE,3,0,6,0,4.26,0.41,0.3,7.3,0.45,6,2,24,0,0,0,6,0,0,0,6,Orthodox,167.64,172.72,135,2,0,0,3.34,0.4,0.4,0.89,0.41,4,4,18,1,0,2,0,2,1,0,5,Orthodox,167.64,170.18,135,33,30,-2,6,2,1,-2,6,-1,-2,-1,0.0,2.539999999999992,-3,0.92,-0.1,6.41,1,11,6,,,,,,,,,,,6,,,,,,,,,,,,,11,,,Red,KO/TKO,Punches,2,4:25,565,500,100,1200,550,600,400,Las Vegas,Nevada,USA
11,Alexander Volkanovski,Brian Ortega,-180,155,55.55555555555556,155.0,2021-09-25,Red,True,Featherweight,MALE,5,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,Switch,172.72,175.26,145,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,Orthodox,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.079999999999984,-5.0800000000000125,-2,-2.27,0.8999999999999999,-0.9,1,2,0,,,,,,,,,,0,,,4,,,,,,,,,,2,,,,Red,U-DEC,,5,5:00,1500,140,500,1600,400,250,700,Las Vegas,Nevada,USA
14,Curtis Blaydes,Jairzinho Rozenstruik,-380,290,26.31578947368421,290.0,2021-09-25,Red,False,Heavyweight,MALE,3,0,1,0,2.8,0.46,0.0,0.0,0.0,4,2,18,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,1,0,0,3.44,0.51,0.0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,Orthodox,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.079999999999984,-5.079999999999984,3,-0.6400000000000001,0.0,-6.27,1,6,4,,,,,4,,,,,,,,,,,,,6,,,,,,,,,Red,U-DEC,,3,5:00,900,180,1000,1000,3500,125,380,Las Vegas,Nevada,USA
